ISBN,Title,Author,Publisher,Pages,Date Published,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status
1-896095-55-0,Between Gardens,"Graham Chudley, Carol, Field, Dorothy","Raincoast Books, Polestar",240,2002-05-29,Paperback,"When good friends and avid gardeners Dorothy Field and Carol Graham Chudley began a year's correspondence about their gardens, they intended to write a simple how-to manual. At the end of the year they discovered that they had created something richer—they'd written a joyous meditation on living with integrity. 
<p>While the letters were being written, Carol suffered from Chronic Fatigue Syndrome. Despite pain and sleep deprivation, she joined Dorothy in recording the cycles of their beloved gardens. She also kept a private journal of her struggle with illness. Excerpts from her journal are an integral part of <i>Between Gardens</i>, providing a poignant counterpoint to the vibrant letters. Dorothy's photographs and handmade paper accompany the words, expressing her acute perception of the natural world.</p>",en,First Edition,"Height: 8.25 Inches, Length: 6.25 Inches, Weight: 1.05 Pounds, Width: 0.75 Inches",18.95,https://images.isbndb.com/covers/55/54/9781896095554.jpg,Success
0-88974-061-5,Sojourners and Sundogs: First Nations Fiction,"Maracle, Lee","Raincoast Books, Press Gang Publishers",352,2002-05-08,Paperback,"Stories About Modern Indians In Canada. The Story, Sundogs, Is On The Experiences Of A Young Student In A White Milieu In Vancouver. She Finds Herself Being Indian Among Whites And White Among Indians. Sundogs : A Novel -- Bertha -- Who's Political Here -- Worm -- Maggie -- Eunice -- Yin Chin -- Dear Daddy -- Polka Partners, Uptown Indians And White Folks -- Charlie -- Lee On Spiritual Experience -- Too Much To Explain -- Sojourner's Truth -- World War I. Lee Maracle.",en,,"Height: 7.75 Inches, Length: 5.75 Inches, Weight: 0.9 Pounds, Width: 0.75 Inches",16.95,https://images.isbndb.com/covers/06/17/9780889740617.jpg,Success
1- -5 56 63 3,,,,,,,,,,,,,Error
41 1- -1 11 1,,,,,,,,,,,,,Error
1-56341-116-4,This Is What Lesbian Looks Like: Dyke Activists Take on the 21st Century,,Firebrand Books,256,1999-11-01,Paperback,"Twenty-six Lesbian Grassroots Activists -- Some Of Them Household Names Nationally, Others Known Only Within Their Local Communities -- Help Us Focus On The Future Of Our Lesbian Lives As We Move Into The Next Century.",en,First Edition,"Height: 8.5 Inches, Length: 5.75 Inches, Weight: 0.72 Pounds, Width: 0.5 Inches",18.95,https://images.isbndb.com/covers/11/68/9781563411168.jpg,Success
1-56341-117-2,This Is What Lesbian Looks Like: Dyke Activists Take on the 21st Century,,Firebrand Books,256,1999,Hardcover,"Wenty-six Lesbian Activists--some Of Them Household Names Nationally, Others Known Only Within Their Local Communities--help Us Focus On The Future Of Our Lesbian Lives As We Move Into The Next Century. Written With Both Heart And Smarts, In Language That Speaks To The Dailiness Of Personal Experience And Larger Political Questions, This Is What Lesbian Looks Like Is The Kind Of Reading That Helps To Shape A Movement. If Any Disenfranchised Group Is Only As Strong As Its Weakest Members, How Do We Think About Lesbians Who Are Not White, Able-bodied, And Middle Class? What Is Lost In The Gap That Exists Between The First Generation To Age Having Lived Their Adult Lives Out Of The Closet And The Young Dykes For Whom Out Feels Like A Been There/done That Kind Of Thing? Where Does Fighting The Right Fit Into The Rainbow Rush Toward Assimilation? How Will Lesbian Identity Be Defined Within The Multiplicity Of Gender Expressions Becoming Increasingly Visible And Vocal?--jacket. Introduction / Kris Kleindienst -- Mama And Mom And Dad And Son / Dorothy Allison -- A Chronology Of Consciousness : The Politics Of Visibility / Victoria Brownworth -- Girls Just Want To Have Fun / Karen Bullock-jordan -- This Dyke's A Leftie-this Leftie Is A Dyke / Leslie Cagan -- The Emperor's New Clothes, Or How Not To Run A Movement / Mandy Carter -- Strip! / Diana Courvant -- We Are All Works In Progress / Leslie Feinberg -- Changing Everything, Or How To Queer The Family / Jenifer Fennell -- Poets Live The Questions / Jewelle Gomez And Minnie Bruce Pratt -- One Old Lesbian's Perspective / Shevy Healey -- Color Me White / Surina Khan -- Evolution / Deke Law -- Being A Woman Of Color And Surviving Racism / Vera Martin -- Who Is The We? / Pam Mcmichael And Cara Wallace -- The Politics Of Thinking / Joan Nestle -- Thoughts On Youth / Suzanne Pharr -- Lesbian/sex : About What We Do And Desire, And Its Relation To Community And Identify (or, How I Learned To Love The Sex Wars) / Carol Queen -- Moving Between Fool And Freedom : The Ego Of Activism / Susan Raffo -- What You See Is What You Get : Building A Movement Toward Liberation In The Twenty-first Century / Mattie Richardson -- Reclamations / Marlene Schuman -- Hawai'ian Sovereignty/gay Marriage : Ka Huliau / Mab Segrest -- Doing It From Scratch : The Challenge Of Black Lesbian Organizing / Barbara Smith -- Sex, Love And Birth Control In The Twenty-first Century / Urvashi Vaid -- Citizen Queer / Carmen Vazquez. Edited By Kris Kleindienst.",en,First Edition (US) First Printing,"Height: 8.75 Inches, Length: 5.75 Inches, Width: 0.75 Inches",3.04,https://images.isbndb.com/covers/11/75/9781563411175.jpg,Success
0-385-31486-8,In Our Time: Memoir of a Revolution,"Brownmiller, Susan",The Dial Press,368,1999-11-09,Hardcover,"Brownmiller's Reflections On The Feminist Utopian Vision And Her Dramatic Accounts, Rendered With Honesty And Humor, Of The Movement's Painful Internal Schisms As It Struggled To Give Voice To The Aspirations Of All Women. The Founders -- An Independent Movement -- Which Way Is Utopia? -- Confrontation -- Abortion Is A Woman's Right -- Enter The Media -- Full Moon Rising -- Rape Is A Political Crime Against Women -- Internal Combustion -- Feminist Author -- No Man Is Worth Dying For -- Its Name Is Sexual Harassment -- The Pornography Wars. Susan Brownmiller. Includes Bibliographical References (p. [333]-350) And Index.",en,First Edition,"Height: 9.5 Inches, Length: 6.5 Inches, Weight: 1.5 Pounds, Width: 1.25 Inches",24.95,https://images.isbndb.com/covers/48/62/9780385314862.jpg,Success
1-58005-028-X,Restricted Access: Lesbians on Disability,,Seal Press,320,1999-10-07,Paperback,"Lesbians And The Disabled Have Long Been Marginalized By A Society That Restricts Access To The Category Normal. In This Anthology, Nearly Thirty Contributors, Representing A Broad Range Of Disabilities - Both Physical And Mental - Explore The Complicated Issues Of Identity And Community, And The Realities Of Living With Disability. In Doing So, They Shed Light On Their Personal And Political Struggles As Disabled Lesbians - And Offer An Important Contribution To Social Justice Movements Of All Kinds.--jacket. Introduction / Victoria A. Brownworth -- Tears / Victoria A. Brownworth -- Home Among The Trees: A Visit With Karen Thompson, Sharon Kowalski And Patty Bresser / Marj Schneider -- Steps And Climbing: An Interview With Joyce Peltzer / Susan Raffo -- Seeing Is Be(liev)ing / Deborah Peifer -- Backward By Threes / Faith Reidenbach -- From Each ... To Each / Lizard Jones -- The Laws Of Physics: A Conversation With D.a. Watters -- A Dialogue On Disability: To The Person Who Helps Me / Maura Kelly -- Hang-gliding: An Interview With Maura Kelly / Victoria A. Brownworth -- Autoimmune Disease: A Personal Perspective / Patricia Nell Warren -- The Madwoman Of Off Our Backs / Carol Anne Douglas -- Still Femme / Sharon Wachsler -- Complications: The Deaf Community, Disability And Being A Lesbian Mom -- A Conversation With Myself / Vicky D'aoust -- Two Communities: Lesbian And Deaf Cultures Meet -- Flirting With You: Some Notes On Isolation And Connection / Eli Clare. Edited By Victoria A. Brownworth And Susan Raffo.",en,First Edition,"Height: 9.25 Inches, Length: 6.25 Inches, Weight: 1.15 Pounds, Width: 1 Inches",0.00,https://images.isbndb.com/covers/02/89/9781580050289.jpg,Success
1-55861-221-1,Under the Rose: A Confession (The Cross-Cultural Memoir Series),"Alaya, Flavia",The Feminist Press at CUNY,400,1999-09-01,Hardcover,"<p><p>an Explosive True Story Of Passion And Transgression Rendered In Exquisite Prose.</p> <h3>publishers Weekly</h3> <p>in An Emotionally Extravagant Memoir That Favors Stream Of Consciousness Over Structure, Alaya (gaetano Federici: The Artist As Historian), A Literature And Cultural History Professor At Ramapo College In N.j., Recounts Her Longstanding, Clandestine Relationship With A Roman Catholic Priest. She Brings To Life Her Italian-american Upbringing In A Large Extended Family, Capturing The Complexities Of Her Relationship With A Father Who, Hoping To Protect Her Sexual Innocence, Restricted Her Freedom. Shortly After Leaving College, She Found Both Love And Freedom In Perugia, Italy, Where She Was Living On A Fulbright Scholarship And Met Father Harry Browne, A 40-year-old Irish-american Priest. Browne Reciprocated Her Feelings, And Their Love Affair Blossomed When They Returned To New York And Became Deeply Involved In Tenant Organizing On The Upper West Side. When Alaya Became Pregnant, She Fled To Italy To Have Her Baby, So As Not To Jeopardize Her Lover's Position In The Church. She Later Relocated To New Jersey And, Through The Births Of Two More Children, Kept Their Father's Identity A Secret While Browne's Ongoing Political Activism Burnished His Reputation As A Charismatic Radical Priest. In 1970, Ill From The Demands Of Single Motherhood, Alaya Finally Told Browne Either To Live Openly With Her Or To Leave Permanently. He Chose To Live With Her, But Remained A Priest Until His Death From Leukemia 10 Years Later. Alaya Squarely Lays The Blame For Her Lover's Divided Loyalties At The Feet Of A Regressive Church. She Is Less Convincing, However, In Her Protestations That Their Domestic Situation Allowed Her The Freedom To Be Herself. B&w Photos. Author Tour. (oct.) Copyright 1999 Cahners Business Information.</p>",en,First Edition,"Height: 9.2 Inches, Length: 6.3 Inches, Weight: 1.56087281496 Pounds, Width: 1 Inches",1.99,https://images.isbndb.com/covers/22/11/9781558612211.jpg,Success
1-55597-292-6,My Lesbian Husband: Landscapes of a Marriage,"Borich, Barrie Jean",Graywolf Press,312,1999-08-01,Hardcover,"A Memoir Of The Author's Life And Love She Shares With Her Long-term Partner, Linnea. Barrie Jean Borich.",en,First Edition,"Height: 9.84 Inches, Length: 5.84 Inches, Weight: 1.41977696728 Pounds, Width: 1.07 Inches",0.00,https://images.isbndb.com/covers/29/29/9781555972929.jpg,Success
